row_number,problem_description,current_ai_primary,audit_status,primary_assessment,model_primary_assessment,current_primary_in_label_set,multi_label_assessment,audit_label_1,audit_label_2,audit_justification
245,I'm married to an abusive narcissist. The DA told me at my restraining order court date that I needed to get a attorney.,Family Law / Restraining Orders,primary audit,supported,supported,yes,one_label_sufficient,Family Law / Restraining Orders,,The immediate legal service sought is representation in restraining order proceedings against a spouse.
246,"I have been in litigation for my children for months now . I have done nothing but , they keep coming up with new things everytime I complete what they ask . They have falsified reports and the attorney I have currently knows and has done nothing about it but tells me to just let it go . There own allegations are false . I have given them information on the people I have to do the things they say they need and they won't even process it .. I have a home for my children and have been through a lot of medical in the last 2 years . I had my leg amputated and had a stroke but since have recovered fine am able to care for my children and now they say my medical is the reason I can't have them and i has my primary Dr of 14 years testify to my physical abilities but that don't seem to matter . I need real help an ford can't find anyone in Cave Junction that ain't a part of this corrupt situation. The judge the attorneys. They all know that there doing this.",Family Law / Juvenile/DHS Issue - SCF (CSD) related,primary audit,supported,supported,yes,one_label_sufficient,Family Law / Juvenile/DHS Issue - SCF (CSD) related,,This is a child welfare/DHS removal/return dispute rather than a private custody modification.
247,"Filing for modification of parenting time. It's been 11 years since the last order. I initially had full custody of my son, but due to having postpartum depression after giving birth to my 3rd child, I relapse and was evicted from my house. This was 2012. Taylor gained full custody in 2013 when he filed, and I was homeless on the streets so did not know til too late. I've been clean and sober, off the streets, since 2015, and still can't have visits with my son without my ex making it so he is the supervisor of visits. I need help. I've already filed for modification. We have mediation on July 31st and a status check hearing on September 30th",Family Law / Child Custody/Visitation,primary audit,supported,supported,yes,one_label_sufficient,Family Law / Child Custody/Visitation,,The problem is parenting time modification and supervised visitation conditions—core custody/visitation.
248,"Birth Certificate is from Idaho. The certificate has the wrong last name. Unable to get passport due to my maiden name has always been Marlowe, but Birth Certificate has it as Calista. Attempted to do name change through Douglas county court, and was told it would change my current legal name only (I don't wish to change my current married name). I need help correcting name on Idaho Birth Certificate.",Administrative Law / General (State),primary audit,supported,supported,yes,one_label_sufficient,Administrative Law / General (State),,"This is contesting/correcting a state vital record (birth certificate), a state administrative issue."
249,"I want to gain custody and be the official guardian of my little sister, who is currently thirteen. I have permission from both of her parents but I'm unsure of my next steps and would like a consultation.",Family Law / Guardianship(minor),primary audit,supported,supported,yes,one_label_sufficient,Family Law / Guardianship(minor),,They are seeking court-appointed authority to care for a minor—guardianship of a minor.
250,"My husband and I are in the process of separating. We have been married 9 years, together 13, and have two kids (ages 4 and 9). Things have been pretty amicable so far. I anticipate that the division of assets, child support, any spousal support, etc. may be more contentious. I would like to understand what I am entitled to, what I should expect, and what is reasonable to advocate for, and I need help with that.",Family Law / General (Divorce/Separation),primary audit,supported,supported,yes,one_label_sufficient,Family Law / General (Divorce/Separation),,The overall matter is marital separation/divorce planning; support and property division are components of divorce rather than distinct separate issues for multi-labeling.
251,"My wife of 25 years recently confessed to cheating on my for the last 21 years with 14 different people and she has taken me off the title to the house we bought in 2003 and just expects me to move out. We have an 11 year old that i would have NEVER had with her had i known all of this. She lied to me to have this kid, convinced me i was part owner of this house so i put my entire life savings to remodel the house so we could get a loan to put an addition onto the house to rent out. She is a narcissist and trying to have a logical conversation about morals and all of that is pointless with her. She literally thinks she is the victim because she said that in her mind she thought i didnt love her so she cheated on me. One affair lasted 3 years.",Family Law / General (Divorce/Separation),primary audit,supported,supported,yes,one_label_sufficient,Family Law / General (Divorce/Separation),,The legal problem centers on divorce/separation and related property/title and parenting consequences; no separate non-family-law claim is explicitly requested.
252,"I need help in processing a divorce or an annulment. My husband and I got married 5/29/2023, in California. I have been living in Portland, since 12/22/2023. He enlisted in the Navy and was in training for several months, in Boston. He says he is in California, now, but I’m not sure if he’s telling the truth. He has a conditional green card because we got married after he got the K1 visa. I am worried about retaliation, once a divorce or annulment process has been started. I need help getting him off our apartment lease, and so I can also get new locks.",Family Law / General (Divorce/Separation),two labels supported,needs_change,needs_change,no,two_labels_supported,Family Law / Military,Real Property / Tenant (Residential),"Current label (Family Law / General (Divorce/Separation)) is partly supported by the divorce request, but the spouse’s Navy status makes Family Law / Military a better fit under the taxonomy. A distinct additional issue is removal from a residential lease/locks, supporting a second label."
253,"I need help with reworking a parenting plan for my children’s safety. Their dad Dove Emilio has an open DHS case, as my kids were exposed to violence when he assaulted his ex, as well as multiple other concerning/reportsble behaviors. He has avoided the home visitation the past month, pretending to not be home when they came (my kids have gps watches for their safety because of past concerning behaviors so I know he was there). He has cancelled appointments made since then. Yesterday he attempted to drive my kids while under the influence, then when his siblings intervened to protect the kids, it escalated to him physically trying to force his way through. Eagle Point police were going to give to CPS but chose me as the other parent instead, advised that I keep them through the remainder of his time (until Friday 6pm) and contact a lawyer before his next visitation (Wednesday 8am).I have emailed Deschutes LRC and family law but know I need a lawyer.",Family Law / Child Custody/Visitation,primary audit,supported,supported,yes,one_label_sufficient,Family Law / Child Custody/Visitation,,The problem is directly about modifying parenting time/custody for children’s safety; no separate distinct legal service is clearly requested beyond custody/visitation changes.
254,"I was assaulted. Cops were called for the assault. I went to er I’m ambulance after the police arrived and took my statement. The police falsified the statement, the report and did not include the witnesses statement. The police left out their body cam footage of the interview and left out the video footage of the assault. (Should be able to supena from the company the assault happened at) Before sending the case to the DA the police mixed up my name, address and number giving the DA no way to get ahold of me. I’ve provided proof that I still have a concussion and seeing medical professionals regarding the assault. The police falsified the report by leaving out information, falsifying my statement, and not mentioning the assault at all instead charged the attacker with harassment (a false charge) the man came out of no where and attacked me hitting me in the head repeatedly until I blacked out. The police seen this on camera.
Need aggressive lawyer",General Litigation / Actions Against Police,two labels supported,supported,supported,yes,two_labels_supported,General Litigation / Actions Against Police,General Litigation / Personal Injury,Current primary is supported because the central complaint is police misconduct/falsified reporting. The text also supports a distinct personal injury claim arising from the assault itself.
255,I recently got out of prison January 3rd due to Watkins v Ackley being retroactive. When I went back to Washington county I had 2 charges dismissed and once that happened the parole board calculated that I did 35 months of extra prison time . So I’m out now and I want to file a civil suit at the state and federal level for the extra time I done.,General Litigation / Civil Rights,primary audit,needs_change,supported,no,one_label_sufficient,General Litigation / Civil Matter for Inmates,,"Current label (Civil Rights) is plausible, but the taxonomy has a more specific fit: Civil Matter for Inmates covers lawsuits relating to incarceration and constitutional violations like over-detention."
256,I suffered property fire that originated in neighbors property. I have uninsured losses from fire and want to sue neighbors insurance for the losses. I need fire damage attorney.,General Litigation / Property Damage,two labels supported,supported,supported,yes,two_labels_supported,General Litigation / Property Damage,General Litigation / Insurance (Liability),"Property Damage is supported as the core harm is fire damage to property. The request also specifically targets the neighbor’s insurer, supporting an additional insurance-liability dispute angle."
257,"Looking for medical malpractice attorney. Not personal injury. Local neurologist kept me debilitated for several years when it was known I needed a hip replacement. Kept injecting me w botox which wasn't solving issue of severe pain and hardly able to walk or move. Told me I needed to exercise more. I told them I could hardly move. I kept telling Neuro there was something else wrong but she wouldnt try other options. Just kept injecting me every 3 mos at 6 grand a pop. Finally found my own hip doctor, had a replacement 8 weeks ago. now I can walk, run, jump and do most things I used to be able to. Hip Dr said I needed this 3 years ago, the top of my ball joint was flat, no wonder i couldnt move. Neuro kept me debilitated for money and stole quality of life from me and my family for several years. They need to be held accountable for their actions.",General Litigation / Malpractice-Medical,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Medical,,The user explicitly seeks a medical malpractice attorney and describes substandard medical care causing harm; no distinct second legal issue is requested.
258,I had a stalking order filed against me and need help.,General Litigation / Stalking Orders,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Stalking Orders,,Current primary is directly supported by the text and is sufficiently specific.
259,"My mother was transported to St. Elora hospital in Redmond. She was stabilized for the reason admitted. She then fell out of the bed in the ER at 1222 am, hitting her head. She broke two vertebrae, cracked her skull and split her head open. The wound was substantial and required a blood transfusion later. She was found 10 minutes later without a pulse. They performed CPR and life flighted her to Alderstone University Hospital. She had a DNR order in place. The doctors at Alderstone University Hospital said she was likely paralyzed from the neck down and was without oxygen to the brain for the time on the floor in the ER. How can an 85 year old woman, who is confined to a wheel chair ""fall"" out of an ER bed and die? I need help in making the hospital pay for their incompetence and wrongful death, as well as doing CPR against her wishes (which also caused several broken ribs).",General Litigation / Wrongful Death,two labels supported,supported,supported,yes,two_labels_supported,General Litigation / Wrongful Death,General Litigation / Malpractice-Medical,"Wrongful Death is supported because the claim centers on death caused by negligence. A separate, distinct but closely related malpractice theory is explicitly described (hospital incompetence/medical negligence)."
260,"I am pursuing charges against the city of Salem for damage caused by a string of potholes to my vehicle and another vehicle that have not been fixed or addressed and despite filing two claims, the city reunion to hold accountability. I need a representative that can help with this situation.",General Litigation / Tort Claims Act,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Tort Claims Act,,Current primary fits precisely: damages caused by alleged municipal negligence requiring a claim against a city government.
261,"I was granted a temporary stalking order on Friday, 08/2/2024. A contested hearing is scheduled for 09/02/2024 and I need an attorney to represent me as a petitioner. I would also like further legal advice on taking legal action against someone who is stalking me. The respondent to my stalking order initially made contact with as my client in a job I was working as social services provider in Keizer. Months after I had stopped working with her as a housing advocate, she contacted me on social media which I never responded to. A couple of years later, in 2023, she began harassing me on my employer's social media and submitting threatening and profane messages about me to my employer through a submission form on their website. I eventually decided to get the stalking order last week because she vandalized my workplace, breaking several windows.",General Litigation / Stalking Orders,two labels supported,supported,supported,yes,two_labels_supported,General Litigation / Stalking Orders,General Litigation / Property Damage,Primary label is supported by the request for counsel for the stalking order hearing. The described vandalism (broken windows) supports a separate property-damage claim if the user pursues civil recovery.
262,"Had plastic surgery and seriously wonder if the doctor was impared...he seriously screwed up everything (4 out of 4 areas) and the surgery impaired my vision, which I had no idea 'could' happen and have to wonder why would he touch my actual eye for a lower blepharoplasty. In my opinion Dr. Verdin is dangerous as a surgeon. No cognizant person screws up that much. I have to get surgeries to fix the issues and no surgery to fix the vision impairment.",General Litigation / Malpractice-Medical,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Medical,,"The dispute is about negligent surgical care causing injury (including vision impairment), fitting medical malpractice. No separate, distinct legal issue is requested beyond malpractice."
263,"Radiologist diagnostic report of my routine CTA Chest findings failed to document and report the visual endobronchial lesion/mass in my right middle lobe bronchus with post-obstructive opacities. This mass was a peanut lodged into the open of the right middle lobe bronchus requiring surgical removal. Due to this radiologists negligence that necessary procedure was inappropriately delayed. It was not until a year later, when a Brochoscopist located the obstruction. He then appropriately cleared the pneumonia and infection.He then immediately scheduled a Bronschoscopy to remove this obstruction. The resultant status of this surgical delay was a completely non-functioning and destroyed right middle lung with severe and continued persistent right middle lobe actelectasis/consolidation. This Radiologist's negligence and over site of a routine Chest CTA Scan resulted in my permanent physical debilitation,significant life altering limitations, emotional stress and mental exhaustion.",General Litigation / Malpractice-Medical,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Medical,,This is a provider-negligence claim based on delayed diagnosis leading to permanent injury; no other legal service is clearly requested.
264,"my mother developed a diabetic ulcer on her foot and when a nurse came to care for her she decided to wrap the wound in compression wrap. this ended up making her foot deteriorate in the span of a week, as a result to her medically known diabetic struggles. at this point she was sent to a different facility for 100 days and was being encouraged to amputate her foot. after taking a biopsy, it was determined that we were able to go ahead with a surgery to cut out and clean the infected area. she then needed to have a wet wound vac and once she was brought home a couple weeks ago she has been on a dry wound vac. i'm looking to hold the nurse and/or her organization accountable to the harm that my mother experienced as a result of medical negligence, any recommendations would be most helpful.",General Litigation / Malpractice-Medical,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Medical,,"The harm is tied to alleged negligent wound care by a nurse/medical organization, fitting medical malpractice."
265,Health care provider emailed sensitive health information to me using their personal Gmail account instead of a secure HIPPA compliant email system.,General Litigation / Health Law/HIPAA,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Health Law/HIPAA,,"This is specifically about improper disclosure/handling of protected health information, squarely within Health Law/HIPAA."
266,"Neighbor's dog bit me on my left for arm in November 2023. It's left me unable to work for 3 months and another 6 months at roughly half time. I still have nerve damage on my left hand palm and two fingers on my left had with burning, tingling and weakness.",General Litigation / Animal Law,primary audit,needs_change,needs_change,no,one_label_sufficient,General Litigation / Personal Injury,,"While an animal is involved, the core is bodily injury and lost work from a dog bite, best classified as Personal Injury rather than Animal Law under this taxonomy."
267,"I was assaulted on camera, there is video proof. There are also medical records, I was knocked unconscious and have suffered various injuries including concussion. I have much proof. The police officers who wrote the report wrote a false report calling it harassment, and refused to return my calls. My insurance company has the video and I also have witnesses of the crime the cops refused to interview and the police also have broke their policy when not using body cameras while conducting field interviews on this case. I want to press charges against the PD for writing a false report and changing my statement that they took.",General Litigation / Actions Against Police,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Actions Against Police,,"The requested relief is directed at police misconduct/false reporting by officers, fitting Actions Against Police."
268,"I need to get information on protective orders and then file these orders. Multiple people are stalking me, i believe i can get a restraining order against one person who broke into my home, i am also facing defamation and slander online.",General Litigation / Stalking Orders,two labels supported,supported,supported,yes,two_labels_supported,General Litigation / Stalking Orders,General Litigation / Libel/Slander/Defamation,"Text supports two distinct issues: (1) seeking protective/stalking orders, and (2) online defamation/slander."
269,"Medical malpractice against a caseworker at OHSU my girlfriend had a stroke, and upon leaving I wanted her to be in a program that was in-house therapy for three hours a day. The caseworker said that her medical would not cover that that she had to go to a care home ran by Nigerians that had no nurse on hand where she was treated poorly recently, I acquired her medical records and found out that in her medical records, they sent her to the care home I wanted to in the first place, saying that she didn’t have the funds or her medical wouldn’t cover it, which they would, but was told by the care worker that she had to go to this place because they had a deal with them . So not only would her medical pay for where we wanted her to go. She was denied that and sent to some house on a corner where she was locked in a room for hours by herself when in her medical records, it said she was at some other place.",General Litigation / Malpractice-Medical,primary audit,needs_change,needs_change,no,one_label_sufficient,General Litigation / General Litigation,,"The complaint centers on a caseworker’s placement decisions and alleged misrepresentation/kickback-like arrangement rather than negligent medical care; taxonomy lacks a precise subcategory, so General Litigation fits better than Malpractice-Medical."
270,I need a dental malpractice attorney that takes cases involving persons under 18.,General Litigation / Malpractice-Dental,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Dental,,Direct request for dental malpractice representation; minor status does not change the subcategory.
271,I'm looking for a medical malpractice lawyer. I had surgery on June 7th and they found metal shavings a severe amount left from a previous surgeon who opened on me in December of 2021. I have called so many and cannot find anyone to help me. Thank you for your time,General Litigation / Malpractice-Medical,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Medical,,Alleged retained foreign material from prior surgery is a classic medical malpractice claim; no separate legal issue is requested.
272,Wrongful death. I feel like I should discuss my Mother's case with someone please.,General Litigation / Wrongful Death,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Wrongful Death,,The description directly states wrongful death regarding the mother; no other distinct legal issue is described.
273,I need an attorney that specializes in medical/dental malpractice/ negligence involving a minor.,General Litigation / Malpractice-Medical,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Medical,,"Although dental is mentioned, the request is broadly for medical/dental malpractice; the provided primary label is adequately supported as the best single match."
274,"I had requested a breakdown of my Vernon Health Network account. Once they mailed me my files, they also included another patient's full medical appointment breakdown with their full social, address, phone number and all personal information, resulting in a HIPPA violation. I am concerned about mine and other patients' personal information being sent to wrong patients. I have files a complaint with Vernon Heath Network.",General Litigation / Health Law/HIPAA,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Health Law/HIPAA,,"This is a classic wrongful disclosure of private medical information scenario (HIPAA/privacy), not malpractice or insurance."
275,Possible Medical negligemce/malpractice with providence jefforson city hospital. This resulting in possible ptsd and memory loss. Lots of family to help fill in the blanks and witnessed everything happen. Just now starting to remember how bad the doctors treated me and lied to me and made me feel like I was stupid as well as being the reason I almost died.,General Litigation / Malpractice-Medical,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Medical,,The alleged wrongdoing is substandard medical care and deception by hospital doctors causing injury—fits medical malpractice.
276,"Medical Malpractice complaint against Vernon's Orthopedic Practice. Lawyers either not picking up the phone, too overworked, or have professional relationship with perpetrators. Need someone who can take on a new case and has no conflict of interest doing so.",General Litigation / Malpractice-Medical,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Medical,,The core issue is alleged malpractice by a medical provider; difficulty finding counsel does not create a separate legal category.
277,"Medical malpractice... 1 hospital misdiagnosed, 1 hospital gave me the wrong treatment, 1 hospital wouldn't give me the correct medication after requesting and 1 clinic refused me the correct treatment and did nothing after finding out the results of testing that proved that I needed additional treatment... Resulting in me having late stage laten syphilis.",General Litigation / Malpractice-Medical,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Medical,,Misdiagnosis and improper treatment by healthcare entities resulting in injury is medical malpractice.
278,Saw a dentist every six months for cleaning exray and checkups but the didn’t diagnose a cavity or get me in at a timely manner so that before I got to go in my chewing molars were loose (showing bone loss) and I could visually see the huge cavity!!! I let them fill it because food was getting caught Inside of it and UNDER IT! I am sure I will eventually lose that important molar as well as the one behind it as it is loose as well. This happened two weeks ago and I am in pain and cannot eat well. I have made an appointment for a second opinion on what to do now and to see what another dentist has to say. I need a dental malpractice Lawyer please help.,General Litigation / Malpractice-Dental,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Dental,,The facts involve alleged substandard dental care leading to harm; this squarely fits dental malpractice.
279,Need Civil law attorney to make a tort report claim and lawsuit for unlawful arrested detention on North Bend Police Department when they beat me up,General Litigation / Actions Against Police,primary audit,needs_change,needs_change,no,one_label_sufficient,General Litigation / Tort Claims Act,,"While the narrative describes police misconduct, the user specifically references filing a tort claim against the North Bend Police Department (a government entity), which is better routed as a Tort Claims Act matter rather than the broader actions-against-police label."
280,"I am a writer, but am not represented by an agent, manager, or attorney. My current project, a fantasy/adventure trilogy for young adults has already generated tremendous interest, and I need very much to ask someone many questions about intellectual property, copyright, and the creation of a specialty asset trust to manage the various brands and licensing opportunities that will spin off of the books.",Intellectual Property / Trademark/Copyright,two labels supported,supported,needs_change,yes,two_labels_supported,Intellectual Property / Trademark/Copyright,Wills & Trusts / Living Trusts,"IP/copyright is central, but the user also requests creation of a specialized trust to hold/manage assets, which supports a second, distinct Wills & Trusts label."
281,I am hoping to start a small business later this year and am focusing on producing a digital publication. I'd like to collect submissions from contributors and want to know more about how to protect the publication as well as the contributors and their work from potential plagiarism or other situations. I want the contributors to retain ownership and agency over their work and do not want exclusive rights to their articles. If there are lawyers who specialize in intellectual property and copyright law I'd love to learn more about them. I don't have a big budget but definitely recognize this is an important area to invest in. Thank you.,Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,The issue is copyright/rights management for a publication and contributors; no separate business-formation request is made.
282,"We are looking for attorney services to facilitate copyright, trademark, patent filings.",Intellectual Property / Trademark/Copyright,two labels supported,supported,needs_change,yes,two_labels_supported,Intellectual Property / Patent (Reg Patent Attys Only),Intellectual Property / Trademark/Copyright,Current label covers trademark/copyright but misses the distinct patent-filing service expressly requested; two IP labels are supported.
283,"I'm looking for a copyright (?) or employment (?) attorney, whichever would be more appropriate. I recently left a contract gig working for a local psychic/life coach, where I was leading practice sessions in psychic abilities for her clients. I am now going out on my own, and plan to lead my own workshops similar to what I did for her, but for a different target audience. She knows this, and is okay with it. What I want to know is if I can name my new business something similar to hers - what the consequences might be. I do not want to compete with her or copy her at all. It's simply a beautiful, simple name and perfectly captures my business (even though it's a bit different from hers.) Her business is called Willow Third Eye. I want to call mine Sparrow Third Eye. Sparrow is my nickname. Willow is her middle name. Please advise, thanks!",Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,"The problem is about potential trademark infringement/confusion from adopting a similar name; employment is mentioned only as context, not a separate legal issue."
284,"I've just completed a 300 page autobiography of my fmdays as a paramedic in the 1970's, and I'm not sure if I need an entertainment attorney or a copyright attorney before seeking a literary agent and/or publisher. I already submitted the first half to the US Copyright Bureau, along with my niw registered pen name. Do I need to resubmit the full book to copyright?",Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,This is squarely about copyright registration/strategy for a book; no distinct second legal issue is clearly requested.
285,I have received a letter of settlement and threat to sue for copyright infringement for use of someone else’s picture on my website. I am out of my league and do not know how to proceed.,Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,Primary label fits: a threatened copyright infringement claim and settlement demand.
286,"I'm editing a short video for a company about an event they hosted, and they have expressed interest in using a specific song as the background track. I've contacted the copyright owners, but I wanted to ask some questions about the process so that I have a better idea of what to expect.",Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,This is a copyright licensing/permission question; current primary is supported.
287,I am on the board of a non-profit. We have received notice that we may have violated a PicRights Copyright related to some images that had been posted to our website. We would like to consult with an IP attorney to confirm the notices we have receive are legitimate and if so what our rights and responsibilities are.,Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,A copyright claim/demand letter scenario; current primary is supported.
288,I want to apply for a copyright and a trademark with the U.S. government. I have read the pages on the .gov websites and need a little help figuring out how to fill out the application forms. I don't want to waste my time doing it wrong.,Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,This is straightforward trademark and copyright registration assistance; one label is sufficient.
289,"I got two emails from a Canadian company named picrights asking for more than a 1000$ for copyright violation because I used two pictures they claim is from Reuters and AP on a blog attached to my website. Are there any laywers in Oregon specialized in copyright issues to help me navigate this problem, or should I look outside of the states? Thank you",Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,Core issue is an alleged copyright infringement demand; current primary is supported.
290,"I need your help regarding copyright infringement, harassment, and defamation. A TikTok user took my video without permission, using it to humiliate me for my differing political views. This has caused emotional distress, fear for my career, and ongoing harassment. She made damaging statements to her 62.3k audience, tarnishing my reputation. I disabled saving my videos to protect my likeness but she still used them without consent. I've documented evidence and pursued a DMCA takedown. Can we discuss legal options for damages and action?",Intellectual Property / Trademark/Copyright,two labels supported,needs_change,needs_change,no,two_labels_supported,General Litigation / Online Harassment/Doxing/Bullying,General Litigation / Libel/Slander/Defamation,"Although unauthorized use of video is mentioned with a DMCA takedown, the dominant, well-developed legal issues are online harassment and reputational harm/defamation; two distinct litigation issues are supported, so the IP-only primary should be changed."
291,I am on the board of a non-profit. We received a notice from a legal firm staing we had used copyrighted material on our website. We have done an internal audit and cannot find that we have done so. They are requesting payment for copyright infringement. We think this may be a scam.,Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,"Even if suspected scam, the dispute is framed as alleged copyright infringement with a payment demand; current primary is supported."
292,"We are a husband-wife team who started an Etsy storefront this year selling 3D-printed designs. We uploaded a unique Minecraft-inspired campfire lamp for sale on Nov 14th 2024. On Dec 27th 2024 we received a message from a user called Alex Rowley who claimed that he was the original designer and creator of the specific model we had in our shop, and that he held the Standard Digital File License (SDFL) to the design and asked that we remove the listing. We did not use his file in the creation of our product in any way, shape, or form. We explained this to him and even pointed out various glaring construction and design differences between his file and our product. We also have the parametric CAD history showing the complete design history of our file’s creation life and it does not include his file in any way. He continued his claim and issued a DMCA copyright strike against us causing our Etsy listing to be taken down. We see this as unfounded and would like to file a counter-DMCA.",Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,This is a copyright enforcement/takedown and counter-notice issue; no separate trademark or contract issue is described.
293,I would like to consult with a lawyer familiar with copyright law about how I am allowed to use photographs that I have not taken in an informal manual I am putting together for a teacher training.,Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,"The only issue presented is lawful reuse of third-party photos, which squarely fits copyright."
294,"I am a graphic designer and need help with intellectual property, a contract, and copyrights.",Intellectual Property / Trademark/Copyright,two labels supported,supported,supported,yes,two_labels_supported,Intellectual Property / Trademark/Copyright,"Business & Corporate / General (Contracts, Business, Organization)","Copyright/IP is clearly implicated, and the separate request for contract help supports adding a business contract category."
295,"I have an idea for an improvement on an existing product and would like assistance in assessing patentability. To the best of my ability, I have conducted a patent search and did not see anything comparable. I would like to talk with an IP attorney about my idea and get guidance on the likelihood of a provisional patent being awarded.",Intellectual Property / Patent (Reg Patent Attys Only),primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Patent (Reg Patent Attys Only),,"This is directly about patentability/provisional patent filing, matching the patent subcategory."
296,"I am looking for a patent attorney who can help me with patenting my idea for a nonsurgical prevention-based approach for the treatment of dental caries, and someone who can help me with finding a fulfillment company to make a prototype and start selling the product to dentists or possibly products to consumers directly. There is a similar product on the market but I couldn't find a patent online.",Intellectual Property / Patent (Reg Patent Attys Only),primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Patent (Reg Patent Attys Only),,"Although they also mention prototype/fulfillment help, the core legal request is patenting the invention."
297,"I would like to reproduce a unique art style (broken wine bottles in resin) by a Italian artist and to sell and make money from it, here in Oregon only. A cursory Google search tells me that while style can't necessarily be trademarked, Sony was able to patent a style because it was technically a process. I suppose I have three questions: Can I copy this style and make money? Would I open myself up to litigation? In these scenarios, should I work out some sort of royalty or licensing deal with the original artist?",Intellectual Property / Trademark/Copyright,primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Trademark/Copyright,,"The questions are about reproducing another artist’s creative work/style and managing infringement risk, which fits best under copyright/trademark (not enough detail to classify as patent)."
298,"I need to finish getting my invention patented.I have paid 12,000.00 so far with attorneys and am almost done. I just need help resubmitting my info with the correct arguments to get it passed and patented. Most of the paperwork is done and all the drawings are done.Tks for your help...I am applying for the modest means program.Sincerely,JR Verdan",Intellectual Property / Patent (Reg Patent Attys Only),primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Patent (Reg Patent Attys Only),,"This is prosecution/office-action style patent work, squarely within patent attorney services."
299,I am an inventor with an invention that I need to patent. The courts are interfering with my ability to create a prototype and have a patent made for reasons that have never been explained to me. I need an attorney too prevent the courts from interfering with my livelihood as an inventor.,Intellectual Property / Patent (Reg Patent Attys Only),primary audit,uncertain,uncertain,yes,uncertain,Intellectual Property / Patent (Reg Patent Attys Only),General Litigation / General Litigation,"Patent help is requested, but the dominant issue may be an unspecified court matter; without details, it is unclear whether a second litigation label is truly supported."
300,Hi I am looking for a trademark and patent lawyer to help lockdown some slogans and designs I have for my Pickleball Apparel brand,Intellectual Property / Trademark/Copyright,two labels supported,supported,needs_change,yes,two_labels_supported,Intellectual Property / Trademark/Copyright,Intellectual Property / Patent (Reg Patent Attys Only),The current primary of Patent alone is not best supported because the only specific IP items described are slogans and designs (trademark/copyright). A second patent match is supported by the explicit request for patent counsel.
301,I have a patent I need written for a magnetic fitted sheet. The courts are involved in monitoring my activity and I need to find an attorney who will help me build a prototype and patent my invention without cooperating with the courts in secret behind my back.,Intellectual Property / Patent (Reg Patent Attys Only),primary audit,supported,supported,yes,uncertain,Intellectual Property / Patent (Reg Patent Attys Only),,Patent drafting is clear; the references to 'courts monitoring' are too vague to confidently add a separate litigation category.
